104.17.30.196:443#HK 电信优选[56ms]
104.17.25.242:443#HK 电信优选[62ms]
104.17.222.32:443#HK 电信优选[65ms]
104.18.33.187:443#SG 电信优选[69ms]
104.18.33.168:443#SG 电信优选[70ms]
198.41.223.251:443#SG 电信优选[71ms]
104.18.33.34:443#SG 电信优选[71ms]
188.164.248.145:443#SG 电信优选[71ms]
198.41.223.133:443#SG 电信优选[71ms]
188.164.248.25:443#SG 电信优选[72ms]
172.66.1.145:443#HK 电信优选[72ms]
104.18.33.171:443#SG 电信优选[73ms]
8.35.211.86:443#SG 电信优选[73ms]
188.164.248.119:443#SG 电信优选[73ms]
188.164.248.215:443#SG 电信优选[73ms]
104.18.33.182:443#SG 电信优选[73ms]
198.41.223.91:443#SG 电信优选[74ms]
173.245.58.147:443#SG 电信优选[74ms]
188.164.248.118:443#SG 电信优选[74ms]
8.39.125.34:443#SG 电信优选[74ms]
104.18.33.127:443#SG 电信优选[74ms]
188.164.248.179:443#SG 电信优选[74ms]
104.18.33.55:443#SG 电信优选[74ms]
188.164.248.126:443#SG 电信优选[74ms]
188.164.248.71:443#SG 电信优选[74ms]
162.159.33.55:443#SG 电信优选[74ms]
173.245.58.202:443#SG 电信优选[75ms]
188.164.248.111:443#SG 电信优选[75ms]
104.18.33.248:443#SG 电信优选[75ms]
188.164.248.27:443#SG 电信优选[75ms]
188.164.248.35:443#SG 电信优选[75ms]
162.159.43.156:443#SG 电信优选[75ms]
8.39.125.250:443#SG 电信优选[76ms]
104.18.33.73:443#SG 电信优选[76ms]
188.164.248.200:443#SG 电信优选[76ms]
162.159.35.54:443#SG 电信优选[76ms]
188.164.248.40:443#SG 电信优选[77ms]
173.245.59.65:443#SG 电信优选[77ms]
104.18.33.104:443#SG 电信优选[77ms]
162.159.35.246:443#SG 电信优选[77ms]
8.35.211.249:443#SG 电信优选[77ms]
198.41.223.202:443#SG 电信优选[77ms]
188.164.248.16:443#SG 电信优选[77ms]
188.164.248.61:443#SG 电信优选[77ms]
198.41.223.156:443#SG 电信优选[77ms]
104.18.33.42:443#SG 电信优选[77ms]
104.18.33.106:443#SG 电信优选[77ms]
8.35.211.28:443#SG 电信优选[77ms]
173.245.59.160:443#SG 电信优选[77ms]
104.18.33.86:443#SG 电信优选[77ms]
198.41.223.109:443#SG 电信优选[77ms]
8.39.125.115:443#SG 电信优选[77ms]
8.39.125.117:443#SG 电信优选[77ms]
173.245.59.205:443#SG 电信优选[77ms]
198.41.223.113:443#SG 电信优选[78ms]
188.164.248.109:443#SG 电信优选[78ms]
198.41.223.137:443#SG 电信优选[78ms]
173.245.58.58:443#SG 电信优选[78ms]
108.162.198.53:443#JP 电信优选[78ms]
104.18.33.49:443#SG 电信优选[79ms]
188.164.248.148:443#SG 电信优选[79ms]
188.164.248.100:443#SG 电信优选[79ms]
188.164.248.33:443#SG 电信优选[79ms]
188.164.248.252:443#SG 电信优选[79ms]
198.41.223.103:443#SG 电信优选[79ms]
188.164.248.75:443#SG 电信优选[79ms]
162.159.34.82:443#SG 电信优选[79ms]
8.35.211.164:443#SG 电信优选[80ms]
8.39.125.251:443#SG 电信优选[80ms]
162.159.40.97:443#SG 电信优选[80ms]
8.35.211.188:443#SG 电信优选[80ms]
173.245.58.22:443#SG 电信优选[80ms]
8.35.211.16:443#SG 电信优选[80ms]
8.39.125.172:443#SG 电信优选[80ms]
173.245.59.144:443#SG 电信优选[80ms]
104.18.33.137:443#SG 电信优选[80ms]
8.35.211.72:443#SG 电信优选[80ms]
104.18.33.147:443#SG 电信优选[80ms]
162.159.43.166:443#SG 电信优选[80ms]
104.18.33.50:443#SG 电信优选[80ms]
104.18.33.113:443#SG 电信优选[80ms]
108.162.198.247:443#JP 电信优选[81ms]
8.39.125.173:443#SG 电信优选[81ms]
108.162.198.34:443#JP 电信优选[81ms]
173.245.58.78:443#SG 电信优选[81ms]
198.41.223.222:443#SG 电信优选[81ms]
8.39.125.147:443#SG 电信优选[81ms]
104.18.33.133:443#SG 电信优选[81ms]
8.35.211.126:443#SG 电信优选[81ms]
188.164.248.60:443#SG 电信优选[81ms]
188.164.248.203:443#SG 电信优选[81ms]
188.164.248.57:443#SG 电信优选[81ms]
104.18.33.25:443#SG 电信优选[81ms]
108.162.198.17:443#JP 电信优选[81ms]
104.18.33.211:443#SG 电信优选[81ms]
162.159.44.197:443#JP 电信优选[81ms]
8.39.125.93:443#SG 电信优选[82ms]
162.159.34.60:443#SG 电信优选[82ms]
8.35.211.69:443#SG 电信优选[82ms]
8.39.125.212:443#SG 电信优选[82ms]
188.164.248.185:443#SG 电信优选[82ms]
104.18.33.90:443#SG 电信优选[82ms]
108.162.198.229:443#JP 电信优选[82ms]
8.35.211.253:443#SG 电信优选[82ms]
8.35.211.77:443#SG 电信优选[82ms]
162.159.38.180:443#JP 电信优选[82ms]
104.18.33.206:443#SG 电信优选[82ms]
188.164.248.69:443#SG 电信优选[82ms]
188.164.248.133:443#SG 电信优选[82ms]
188.164.248.213:443#SG 电信优选[82ms]
108.162.198.149:443#JP 电信优选[82ms]
162.159.42.18:443#SG 电信优选[83ms]
173.245.59.66:443#SG 电信优选[83ms]
108.162.198.148:443#JP 电信优选[83ms]
104.18.33.23:443#SG 电信优选[83ms]
198.41.223.17:443#SG 电信优选[84ms]
162.159.44.202:443#JP 电信优选[84ms]
108.162.198.252:443#JP 电信优选[84ms]
173.245.59.69:443#SG 电信优选[84ms]
104.18.33.62:443#SG 电信优选[84ms]
162.159.38.116:443#JP 电信优选[84ms]
173.245.58.8:443#SG 电信优选[84ms]
91.193.59.46:443#HK 电信优选[84ms]
188.164.248.115:443#SG 电信优选[85ms]
162.159.45.157:443#JP 电信优选[85ms]
104.18.33.39:443#SG 电信优选[85ms]
108.162.198.101:443#JP 电信优选[85ms]
162.159.38.164:443#JP 电信优选[85ms]
104.18.33.178:443#SG 电信优选[85ms]
108.162.198.141:443#JP 电信优选[85ms]
91.193.58.6:443#HK 电信优选[85ms]
172.66.0.217:443#HK 电信优选[85ms]
162.159.39.116:443#JP 电信优选[86ms]
104.18.33.212:443#SG 电信优选[86ms]
104.18.33.245:443#SG 电信优选[86ms]
198.41.223.73:443#SG 电信优选[86ms]
162.159.44.250:443#JP 电信优选[86ms]
162.159.38.1:443#JP 电信优选[87ms]
198.41.223.217:443#SG 电信优选[87ms]
